,COMPLEX_NAME
0,삼전솔하임2차
1,삼전솔하임4차
2,삼전솔하임4차
3,종로중흥S클래스
4,삼정아트테라스정동
5,DUO302
6,동대문솔하임
7,이촌동삼성리버스위트
8,한울글로리A
9,시범
10,한성1
11,현대하이페리온
12,후암미주
13,궁전
14,반포주공1단지
15,영지아트빌라
16,현대멤피스
17,다솔
18,래미안서초7차
19,지에스타워
20,현대슈퍼빌
21,삼익대청아파트
22,선릉역대우아이빌(890-49)
23,신동아
24,토미
25,강남센트럴아이파크
26,엘에이치강남힐스테이트
27,청담현대3차아파트
28,가락(1차)쌍용아파트
29,우성
30,헬리오시티
31,문정래미안
32,올림픽훼밀리타운
33,올림픽선수기자촌2단지
34,석촌호수효성해링턴타워
35,파크리오
36,파크리오
37,쌍용스위닷홈(201동)
38,NS파인트리
39,리센츠
40,리센츠
41,잠실엘스
42,주공아파트 5단지
43,위례24단지(꿈에그린)
44,쌍용
45,토성현대
46,고덕그라시움
47,고덕그라시움
48,고덕그라시움
49,고덕센트럴푸르지오
50,광남캐스빌(389-9)
51,길동우성
52,고덕롯데캐슬베네루체
53,고덕아르테온
54,다성이즈빌
55,중명
56,한양립스
57,골드하임(101동)
58,동아코아아파트
59,금호어울림
60,롯데캐슬(1057-0)
61,마곡수명산파크4단지
62,신세계(697-5)
63,주공10
64,주공10
65,코오롱오투빌2
66,경동팰리스힐
67,남광아파트
68,보람쉬움1
69,오케이A
70,우장산롯데캐슬
71,타워빌
72,풍원팰리스
73,개봉푸르지오
74,현대
75,현대홈타운
76,현대홈타운
77,고척LIG리가1차
78,서울가든
79,SR친오애
80,구로두산
81,구로두산
82,대신빌라
83,로제리움2차
84,로제리움2차
85,송림빌라
86,신도림현대
87,하나세인스톤2차
88,길훈
89,썬앤빌
90,비즈트위트바이올렛5차
91,독산동중앙하이츠빌
92,동은4차
93,이랜드해가든
94,남서울힐스테이트
95,성지
96,당산효성타운2차
97,(1101-1)
98,G밸리소홈
99,신동아
100,쌍용플래티넘S
101,쌍용플래티넘S
102,여의도리버뷰
103,경남아너스빌
104,서울
105,여의도더리브스타일
106,헤렌어반
107,헤렌어반
108,헤렌어반
109,경동미르웰여의도
110,이지리움S
111,건영(103동-106동)
112,대림아파트
113,대림아파트
114,아데나339
115,진성마블로스
116,진성마블로스
117,신동아
118,신동아5
119,씨티아모리움
120,이수브라운스톤상도(527-0)
121,우성1
122,예성2차그린캐슬
123,관악드림(동아)
124,에메랄드104동
125,코스모블루
126,코스모블루
127,코스모블루
128,프라비다2
129,프라비다2
130,G밸리마인드
131,코스모그린
132,금호한신
133,두산
134,센트럴큐브
135,우방2
136,대림강변타운
137,블루빌
138,왕십리풍림아이원
139,왕십리풍림아이원
140,다울아크로빌
141,대림e-편한세상
142,행당한진타운
143,e편한세상광진그랜드파크
144,현대프라임
145,에이탑
146,광진코지웰
147,래미안미드카운티
148,청계푸르지오시티
149,현대썬앤빌청계
150,래미안이문2차
151,쌍용
152,주성아우라
153,가우디트윈캐슬2
154,장안삼성쉐르빌
155,장안푸르미에
156,청솔아파트B동
157,동대문롯데캐슬노블레스
158,더하이어
159,더하이어
160,백림금호
161,신영
162,용마한신
163,묵동포레시타
164,상봉베스트원
165,포시티
166,중앙하이츠
167,범양프레체
168,길음뉴타운3단지푸르지오
169,길음뉴타운8단지(래미안)
170,래미안길음센터피스
171,돈암동더샵아파트
172,동부센트레빌
173,한신
174,돈암동일하이빌
175,삼선푸르지오
176,래미안포레카운티
177,래미안포레카운티
178,래미안포레카운티
179,갤럭시더정릉
180,갤럭시더정릉
181,갤럭시더정릉
182,갤럭시더정릉
183,대우
184,대원아파트
185,월곡두산위브
186,월곡래미안루나밸리
187,두산위브트레지움
188,삼각산아이원
189,에스케이북한산시티
190,번동한양아파트
191,궁전
192,태솔타운
193,파크(나)
194,한원힐트리움수유
195,한신
196,한양2
197,북한산아이파크5차
198,월가타워
199,주공19단지(창동리버타운)
200,창동주공4단지
201,대아2차아파트
202,동부아파트
203,진명비베레
204,풍림아파트B
205,상계주공4(고층)
206,소담빌
207,수락리버시티4단지
208,우림루미아트
209,우림루미아트
210,임광
211,미성
212,풍림아이원
213,한진한화그랑빌
214,상아
215,중계무지개
216,현대(3차)
217,현대(3차)
218,벽산
219,청솔(시영7)
220,거장메카
221,북한산포레스트
222,북한산현대홈타운
223,북한산현대힐스테이트3차아파트
224,진흥엣세벨
225,미래하임(아파트)
226,현대2
227,형진
228,녹번역e편한세상캐슬
229,대주피오레
230,백련산에스케이뷰아이파크
231,응암아네스트
232,응암아네스트
233,은평뉴타운상림마을(푸르지오C-7)
234,DMC센트럴아이파크
235,DMC파크뷰자이1단지
236,디엠씨엘가
237,래미안남가좌2차
238,DMC래미안e편한세상
239,북가좌삼호
240,독립문파크빌
241,그랜드(B동)
242,미건스카이빌
243,홍은동벽산
244,홍은동벽산
245,홍은동벽산
246,홍은동벽산
247,광산
248,홍제원현대(459-0)
249,공덕파크자이
250,래미안공덕5차
251,신촌포스빌
252,현대벤처빌
253,신촌그랑자이(1단지)
254,마포동원베네스트
255,삼성
256,성산시영(선경)
257,대우메트로디오빌
258,하나테크노빌
